"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"11","Pocillopora_acuta_HIv2___RNAseq.g10378.t1",1200.09323446445,16.1580082935651,3.73275266016442,6.29738608202078e-18,8.2804902082135e-15,"P22897",1.35e-39,"Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)","cellular response to interleukin-4 [GO:0071353]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; receptor-mediated endocytosis [GO:0006898]","GO:0001618; GO:0004888; GO:0005537; GO:0005886; GO:0006898; GO:0009986; GO:0010008; GO:0038023; GO:0038024; GO:0071222; GO:0071346; GO:0071353","cell surface [GO:0009986]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]","cargo receptor activity [GO:0038024]; D-mannose binding [GO:0005537]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]"
"12","Pocillopora_acuta_HIv2___RNAseq.g14253.t1",1084.62610850225,15.9449806215647,3.72600215063653,1.43614740174921e-17,1.73103633490838e-14,"Q96RW7",2.16e-33,"Hemicentin-1 (Fibulin-6) (FIBL-6)","actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601]","GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711","adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; muscle tendon junction [GO:0005927]","calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]"
"13","Pocillopora_acuta_HIv2___RNAseq.g25431.t1",3378.81007684284,-11.7349379941434,1.97733044176679,1.70268399501024e-17,1.81069180233287e-14,NA,NA,NA,NA,NA,NA,NA
"14","Pocillopora_acuta_HIv2___RNAseq.11056_t",1574.73889068724,-15.9358651331766,3.89078629652133,1.75260545026688e-17,1.81069180233287e-14,NA,NA,NA,NA,NA,NA,NA
"15","Pocillopora_acuta_HIv2___RNAseq.g9588.t1",10129.8808156182,13.0019191016704,2.91590220652265,2.00134716188456e-17,1.92983235663322e-14,"Q9PT61",6.33e-42,"Homeobox protein otx5-B (Orthodenticle homolog 5-B) (XOtx5b)","anterior/posterior pattern specification [GO:0009952]; eye photoreceptor cell fate commitment [GO:0042706]; positive regulation of transcription by RNA polymerase II [GO:0045944]","GO:0000981; GO:0003677; GO:0005634; GO:0009952; GO:0042706; GO:0045944","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]"
"16","Pocillopora_acuta_HIv2___TS.g30765.t1",1392.70364464146,16.3447572672383,3.808687268642,2.47296594860725e-17,2.23556121754095e-14,NA,NA,NA,NA,NA,NA,NA
"17","Pocillopora_acuta_HIv2___RNAseq.g14021.t1",1390.28685695327,-15.7443142449091,3.85317968897274,3.14334412869647e-17,2.67443114573328e-14,"G8HTB6",2.38e-12,"ZP domain-containing protein","","GO:0016020","membrane [GO:0016020]",""
"18","Pocillopora_acuta_HIv2___RNAseq.g19082.t1",922.112612153853,15.7395547637585,3.70510611812623,5.04384729981954e-17,4.05301151914388e-14,NA,NA,NA,NA,NA,NA,NA
"19","Pocillopora_acuta_HIv2___RNAseq.g16202.t1",815.958547797283,11.1351661499446,1.74229028294792,8.59803763403281e-17,6.54536928098161e-14,"Q9GZX3",1.09e-27,"Carbohydrate sulfotransferase 6 (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5)","carbohydrate metabolic process [GO:0005975]; keratan sulfate biosynthetic process [GO:0018146]; N-acetylglucosamine metabolic process [GO:0006044]; sulfur compound metabolic process [GO:0006790]","GO:0000139; GO:0001517; GO:0005794; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0018146; GO:0045130","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; trans-Golgi network [GO:0005802]","keratan sulfotransferase activity [GO:0045130]; N-acetylglucosamine 6-O-sulfotransferase activity [GO:0001517]"
"20","Pocillopora_acuta_HIv2___TS.g19991.t2",950.24838269187,15.7390170080056,3.72381145082728,1.16154262090862e-16,8.40027623441111e-14,NA,NA,NA,NA,NA,NA,NA
"21","Pocillopora_acuta_HIv2___RNAseq.g20860.t1",1265.2742161805,-15.5762447794186,3.87381005213862,1.35817273991792e-16,9.35457643341562e-14,"Q01528",3.72e-11,"Hemagglutinin/amebocyte aggregation factor (18K-LAF)","collagen fibril organization [GO:0030199]","GO:0005615; GO:0030199; GO:0031012","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]",""
"22","Pocillopora_acuta_HIv2___RNAseq.g8588.t1",783.119333561871,15.4774117514434,3.69354649654503,2.1885385592233e-16,1.4388646236639e-13,"B3EWZ3",3.14e-104,"Coadhesin","","GO:0016020","membrane [GO:0016020]",""
"23","Pocillopora_acuta_HIv2___RNAseq.g26604.t1",3789.9648726559,12.3051226485787,2.53307530500509,2.56133736309491e-16,1.61074711390456e-13,"Q9GLK0",3.7e-171,"Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)","keratinization [GO:0031424]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]","GO:0003810; GO:0010838; GO:0016020; GO:0031424; GO:0045787; GO:0046872","membrane [GO:0016020]","metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]"
"24","Pocillopora_acuta_HIv2___TS.g27642.t1b",1146.75164624353,-15.3843570120627,3.83971613666391,2.74253155561419e-16,1.61468300522664e-13,"P15535",1.41e-89,"Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]","acute inflammatory response [GO:0002526]; angiogenesis involved in wound healing [GO:0060055]; binding of sperm to zona pellucida [GO:0007339]; cell adhesion [GO:0007155]; cell population proliferation [GO:0008283]; development of secondary sexual characteristics [GO:0045136]; epithelial cell development [GO:0002064]; epithelial cell proliferation [GO:0050673]; extracellular matrix organization [GO:0030198]; galactose metabolic process [GO:0006012]; glycoprotein biosynthetic process [GO:0009101]; lactose biosynthetic process [GO:0005989]; lipid metabolic process [GO:0006629]; macrophage migration [GO:1905517]; negative regulation of epithelial cell proliferation [GO:0050680]; oligosaccharide biosynthetic process [GO:0009312]; penetration of zona pellucida [GO:0007341]; positive regulation of apoptotic process [GO:0043065]; positive regulation of circulating fibrinogen levels [GO:0061755]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]; regulation of acrosome reaction [GO:0060046]; wound healing [GO:0042060]","GO:0000138; GO:0002064; GO:0002526; GO:0003831; GO:0003945; GO:0004461; GO:0005576; GO:0005794; GO:0005886; GO:0005989; GO:0006012; GO:0006486; GO:0006487; GO:0006629; GO:0007155; GO:0007339; GO:0007341; GO:0008092; GO:0008283; GO:0008378; GO:0009101; GO:0009312; GO:0009897; GO:0009986; GO:0016323; GO:0030057; GO:0030145; GO:0030175; GO:0030198; GO:0031526; GO:0032580; GO:0032991; GO:0042060; GO:0043065; GO:0045136; GO:0050673; GO:0050680; GO:0060046; GO:0060054; GO:0060055; GO:0061755; GO:1905517","basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; desmosome [GO:0030057]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; filopodium [GO:0030175]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi trans cisterna [GO:0000138]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity [GO:0003831]; cytoskeletal protein binding [GO:0008092]; galactosyltransferase activity [GO:0008378]; lactose synthase activity [GO:0004461]; manganese ion binding [GO:0030145]; N-acetyllactosamine synthase activity [GO:0003945]"
"25","Pocillopora_acuta_HIv2___TS.g18100.t1",8027.26641448667,10.6171988851986,1.87638081121758,2.79086526069316e-16,1.61468300522664e-13,"P51029",2.52e-27,"Protein Wnt-8b","canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; commissural neuron axon guidance [GO:0071679]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; eye field cell fate commitment involved in camera-type eye formation [GO:0060898]; forebrain development [GO:0030900]; forebrain neuron differentiation [GO:0021879]; hypothalamus development [GO:0021854]; neuron differentiation [GO:0030182]; otic placode formation [GO:0043049]; sensory epithelium regeneration [GO:0070654]; Wnt signaling pathway [GO:0016055]","GO:0001654; GO:0005109; GO:0005125; GO:0005615; GO:0009880; GO:0016055; GO:0021854; GO:0021879; GO:0030182; GO:0030900; GO:0043049; GO:0045165; GO:0060070; GO:0060898; GO:0070654; GO:0071679","extracellular space [GO:0005615]","cytokine activity [GO:0005125]; frizzled binding [GO:0005109]"
"26","Pocillopora_acuta_HIv2___RNAseq.g11588.t1",1254.25173047322,-15.469932546892,3.89023968603927,3.01703841895413e-16,1.67840168045202e-13,"B3EWY9",3.43e-26,"Mucin-like protein","cell-matrix adhesion [GO:0007160]","GO:0005509; GO:0005615; GO:0007160; GO:0016020","extracellular space [GO:0005615]; membrane [GO:0016020]","calcium ion binding [GO:0005509]"
"27","Pocillopora_acuta_HIv2___RNAseq.g25327.t1",1008.53047685861,-11.8549816909237,1.97447472988843,3.84323193459402e-16,2.05883358155437e-13,"Q13887",2.02e-24,"Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)","angiogenesis [GO:0001525]; cell-cell signaling via exosome [GO:0099156]; cellular response to leukemia inhibitory factor [GO:1990830]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816]","GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005654; GO:0005667; GO:0005794; GO:0006357; GO:0014816; GO:0014901; GO:0014908; GO:0030033; GO:0032534; GO:0043231; GO:0043426; GO:0045600; GO:0045944; GO:0046872; GO:0060576; GO:0061586; GO:0099156; GO:1902895; GO:1990830; GO:1990837","chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"
"28","Pocillopora_acuta_HIv2___RNAseq.g12281.t1",740.060962879886,15.4019456164106,3.72097169074912,4.02937286536835e-16,2.08145889731028e-13,"P10586",7.23e-48,"Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)","cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell surface receptor protein tyrosine phosphatase signaling pathway [GO:0007185]; negative regulation of receptor binding [GO:1900121]; neuron projection regeneration [GO:0031102]; peptidyl-tyrosine dephosphorylation [GO:0035335]; regulation of axon regeneration [GO:0048679]; synaptic membrane adhesion [GO:0099560]","GO:0004721; GO:0004725; GO:0005001; GO:0005886; GO:0007155; GO:0007185; GO:0008201; GO:0016477; GO:0031102; GO:0035335; GO:0035373; GO:0043005; GO:0043025; GO:0044877; GO:0048679; GO:0050839; GO:0070062; GO:0099560; GO:1900121","extracellular exosome [GO:0070062]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]","cell adhesion molecule binding [GO:0050839]; chondroitin sulfate proteoglycan binding [GO:0035373]; heparin binding [GO:0008201]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; protein-containing complex binding [GO:0044877]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]"
"29","Pocillopora_acuta_HIv2___RNAseq.g19284.t1",5809.18872335367,15.6933047902911,3.62338708238238,4.59102687020512e-16,2.22136975987628e-13,"Q9WTR0",1.41e-46,"Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP)","bone development [GO:0060348]; chondrocyte proliferation [GO:0035988]; collagen catabolic process [GO:0030574]; craniofacial suture morphogenesis [GO:0097094]; embryonic cranial skeleton morphogenesis [GO:0048701]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; ossification [GO:0001503]; protein processing [GO:0016485]; skeletal system development [GO:0001501]","GO:0001501; GO:0001503; GO:0001958; GO:0004222; GO:0005615; GO:0005886; GO:0008270; GO:0016485; GO:0030198; GO:0030574; GO:0031012; GO:0035988; GO:0048701; GO:0060348; GO:0070006; GO:0097094","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]","metalloaminopeptidase activity [GO:0070006]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"30","Pocillopora_acuta_HIv2___RNAseq.g19085.t1",6069.90203768671,11.1262619222483,2.10206430008889,4.60737643779649e-16,2.22136975987628e-13,"Q18DN4",2.43e-08,"Halomucin","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0005509; GO:0005576; GO:0007156; GO:0016020; GO:0030246","extracellular region [GO:0005576]; membrane [GO:0016020]","calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]"
"31","Pocillopora_acuta_HIv2___TS.g11360.t1",727.48293499131,11.3112024038479,1.8330688300474,4.91236509061848e-16,2.29201447324857e-13,NA,NA,NA,NA,NA,NA,NA
"32","Pocillopora_acuta_HIv2___RNAseq.g7803.t1",953.479854409614,-15.1821578716683,3.81260026185779,5.71596077420107e-16,2.58361426993888e-13,"Q21305",1.37e-40,"Transcription factor sox-2","neuron differentiation [GO:0030182]; neuron fate specification [GO:0048665]; positive regulation of transcription by RNA polymerase II [GO:0045944]","GO:0000977; GO:0000978; GO:0001228; GO:0005634; GO:0030182; GO:0045944; GO:0048665","nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]"
"33","Pocillopora_acuta_HIv2___TS.g16008.t2",945.362231842888,-15.1356859484098,3.79729136071263,6.03941744421958e-16,2.64709496706642e-13,"Q40778",1.37e-29,"Allene oxide synthase (EC 4.2.1.92) (Cytochrome P450 74A2) (Rubber particle protein) (RPP)","fatty acid biosynthetic process [GO:0006633]; oxylipin biosynthetic process [GO:0031408]","GO:0004497; GO:0005506; GO:0006633; GO:0009978; GO:0016705; GO:0020037; GO:0031408","","allene oxide synthase activity [GO:0009978]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
"34","Pocillopora_acuta_HIv2___RNAseq.g22978.t3b",946.258537376439,-15.1544248513236,3.81404896405488,7.35025252136767e-16,3.12688389614888e-13,NA,NA,NA,NA,NA,NA,NA
"35","Pocillopora_acuta_HIv2___RNAseq.g2406.t1",916.583525243243,-15.1306366530819,3.8160619113183,8.13180945089343e-16,3.36052833993493e-13,NA,NA,NA,NA,NA,NA,NA
"36","Pocillopora_acuta_HIv2___RNAseq.g8119.t1",933.904971969952,-15.1807514961005,3.83576795349168,8.57027665474249e-16,3.4433467092832e-13,NA,NA,NA,NA,NA,NA,NA
"37","Pocillopora_acuta_HIv2___TS.g9414.t1",1170.47134434928,-15.5409237826126,3.97771318321191,9.66668695888134e-16,3.7788908154935e-13,"Q8BFR2",2.36e-58,"Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2)","cell differentiation [GO:0030154]; regulation of BMP signaling pathway [GO:0030510]","GO:0005509; GO:0005576; GO:0030154; GO:0030510","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]"
"38","Pocillopora_acuta_HIv2___RNAseq.g21374.t1",755.981336839023,-10.2047254544063,1.62040625462424,1.62837451905766e-15,6.19810764306579e-13,NA,NA,NA,NA,NA,NA,NA
"39","Pocillopora_acuta_HIv2___RNAseq.g21000.t1",1227.75708253182,-15.5945081095569,3.96312308550262,1.74185854461341e-15,6.46006204853549e-13,"G8HTB6",7.06e-32,"ZP domain-containing protein","","GO:0016020","membrane [GO:0016020]",""
