,query,baseMean,log2FoldChange,lfcSE,pvalue,padj,Heatmap_Label,blast_hit,evalue,ProteinNames,BiologicalProcess,GeneOntologyIDs
11,Pocillopora_acuta_HIv2___RNAseq.g10378.t1,1200.093234,16.15800829,3.732752662,6.30E-18,8.28E-15,Macrophage mannose receptor 1,P22897,1.35E-39,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),cellular response to interleukin-4 [GO:0071353]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; receptor-mediated endocytosis [GO:0006898],GO:0001618; GO:0004888; GO:0005537; GO:0005886; GO:0006898; GO:0009986; GO:0010008; GO:0038023; GO:0038024; GO:0071222; GO:0071346; GO:0071353
12,Pocillopora_acuta_HIv2___RNAseq.g14253.t1,1084.626109,15.94498062,3.726002152,1.44E-17,1.73E-14,Hemicentin-1,Q96RW7,2.16E-33,Hemicentin-1 (Fibulin-6) (FIBL-6),actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601],GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711
13,Pocillopora_acuta_HIv2___RNAseq.g25431.t1,3378.810077,-11.73493804,1.977329734,1.70E-17,1.81E-14,,NA,NA,NA,NA,NA
14,Pocillopora_acuta_HIv2___RNAseq.11056_t,1574.738891,-15.93586513,3.890786298,1.75E-17,1.81E-14,,NA,NA,NA,NA,NA
15,Pocillopora_acuta_HIv2___RNAseq.g9588.t1,10129.88082,13.0019191,2.915902202,2.00E-17,1.93E-14,Homeobox protein otx5-B,Q9PT61,6.33E-42,Homeobox protein otx5-B (Orthodenticle homolog 5-B) (XOtx5b),anterior/posterior pattern specification [GO:0009952]; eye photoreceptor cell fate commitment [GO:0042706]; positive regulation of transcription by RNA polymerase II [GO:0045944],GO:0000981; GO:0003677; GO:0005634; GO:0009952; GO:0042706; GO:0045944
16,Pocillopora_acuta_HIv2___TS.g30765.t1,1392.703645,16.34475727,3.808687271,2.47E-17,2.24E-14,,NA,NA,NA,NA,NA
17,Pocillopora_acuta_HIv2___RNAseq.g14021.t1,1390.286857,-15.74431424,3.85317969,3.14E-17,2.67E-14,ZP domain-containing protein,G8HTB6,2.38E-12,ZP domain-containing protein,,GO:0016020
18,Pocillopora_acuta_HIv2___RNAseq.g19082.t1,922.1126122,15.73955476,3.705106121,5.04E-17,4.05E-14,,NA,NA,NA,NA,NA
19,Pocillopora_acuta_HIv2___RNAseq.g16202.t1,815.9585478,11.13516615,1.742290286,8.60E-17,6.55E-14,Carbohydrate sulfotransferase 6,Q9GZX3,1.09E-27,Carbohydrate sulfotransferase 6 (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5),carbohydrate metabolic process [GO:0005975]; keratan sulfate biosynthetic process [GO:0018146]; N-acetylglucosamine metabolic process [GO:0006044]; sulfur compound metabolic process [GO:0006790],GO:0000139; GO:0001517; GO:0005794; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0018146; GO:0045130
20,Pocillopora_acuta_HIv2___TS.g19991.t2,950.2483827,15.73901701,3.723811452,1.16E-16,8.40E-14,Bacterial protein of unknown function (DUF885),NA,NA,NA,NA,NA
21,Pocillopora_acuta_HIv2___RNAseq.g20860.t1,1265.274216,-15.57624478,3.873810053,1.36E-16,9.35E-14,Hemagglutinin/amebocyte aggregation factor,Q01528,3.72E-11,Hemagglutinin/amebocyte aggregation factor (18K-LAF),collagen fibril organization [GO:0030199],GO:0005615; GO:0030199; GO:0031012
22,Pocillopora_acuta_HIv2___RNAseq.g8588.t1,783.1193336,15.47741175,3.693546498,2.19E-16,1.44E-13,Coadhesin,B3EWZ3,3.14E-104,Coadhesin,,GO:0016020
23,Pocillopora_acuta_HIv2___RNAseq.g26604.t1,3789.964873,12.30512265,2.533075308,2.56E-16,1.61E-13,Protein-glutamine gamma-glutamyltransferase K,Q9GLK0,3.70E-171,Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1),keratinization [GO:0031424]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838],GO:0003810; GO:0010838; GO:0016020; GO:0031424; GO:0045787; GO:0046872
24,Pocillopora_acuta_HIv2___TS.g27642.t1b,1146.751646,-15.38435701,3.83971614,2.74E-16,1.61E-13,"Beta-1,4-galactosyltransferase 1",P15535,1.41E-89,"Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]",acute inflammatory response [GO:0002526]; angiogenesis involved in wound healing [GO:0060055]; binding of sperm to zona pellucida [GO:0007339]; cell adhesion [GO:0007155]; cell population proliferation [GO:0008283]; development of secondary sexual characteristics [GO:0045136]; epithelial cell development [GO:0002064]; epithelial cell proliferation [GO:0050673]; extracellular matrix organization [GO:0030198]; galactose metabolic process [GO:0006012]; glycoprotein biosynthetic process [GO:0009101]; lactose biosynthetic process [GO:0005989]; lipid metabolic process [GO:0006629]; macrophage migration [GO:1905517]; negative regulation of epithelial cell proliferation [GO:0050680]; oligosaccharide biosynthetic process [GO:0009312]; penetration of zona pellucida [GO:0007341]; positive regulation of apoptotic process [GO:0043065]; positive regulation of circulating fibrinogen levels [GO:0061755]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]; regulation of acrosome reaction [GO:0060046]; wound healing [GO:0042060],GO:0000138; GO:0002064; GO:0002526; GO:0003831; GO:0003945; GO:0004461; GO:0005576; GO:0005794; GO:0005886; GO:0005989; GO:0006012; GO:0006486; GO:0006487; GO:0006629; GO:0007155; GO:0007339; GO:0007341; GO:0008092; GO:0008283; GO:0008378; GO:0009101; GO:0009312; GO:0009897; GO:0009986; GO:0016323; GO:0030057; GO:0030145; GO:0030175; GO:0030198; GO:0031526; GO:0032580; GO:0032991; GO:0042060; GO:0043065; GO:0045136; GO:0050673; GO:0050680; GO:0060046; GO:0060054; GO:0060055; GO:0061755; GO:1905517
25,Pocillopora_acuta_HIv2___TS.g18100.t1,8027.266414,10.61719949,1.876380507,2.79E-16,1.61E-13,Protein Wnt-8b,P51029,2.52E-27,Protein Wnt-8b,canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; commissural neuron axon guidance [GO:0071679]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; eye field cell fate commitment involved in camera-type eye formation [GO:0060898]; forebrain development [GO:0030900]; forebrain neuron differentiation [GO:0021879]; hypothalamus development [GO:0021854]; neuron differentiation [GO:0030182]; otic placode formation [GO:0043049]; sensory epithelium regeneration [GO:0070654]; Wnt signaling pathway [GO:0016055],GO:0001654; GO:0005109; GO:0005125; GO:0005615; GO:0009880; GO:0016055; GO:0021854; GO:0021879; GO:0030182; GO:0030900; GO:0043049; GO:0045165; GO:0060070; GO:0060898; GO:0070654; GO:0071679
26,Pocillopora_acuta_HIv2___RNAseq.g11588.t1,1254.25173,-15.46993255,3.890239687,3.02E-16,1.68E-13,Mucin-like protein,B3EWY9,3.43E-26,Mucin-like protein,cell-matrix adhesion [GO:0007160],GO:0005509; GO:0005615; GO:0007160; GO:0016020
27,Pocillopora_acuta_HIv2___RNAseq.g25327.t1,1008.530477,-11.85498172,1.974474724,3.84E-16,2.06E-13,,Q13887,2.02E-24,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),angiogenesis [GO:0001525]; cell-cell signaling via exosome [GO:0099156]; cellular response to leukemia inhibitory factor [GO:1990830]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816],GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005654; GO:0005667; GO:0005794; GO:0006357; GO:0014816; GO:0014901; GO:0014908; GO:0030033; GO:0032534; GO:0043231; GO:0043426; GO:0045600; GO:0045944; GO:0046872; GO:0060576; GO:0061586; GO:0099156; GO:1902895; GO:1990830; GO:1990837
28,Pocillopora_acuta_HIv2___RNAseq.g12281.t1,740.0609629,15.40194562,3.720971692,4.03E-16,2.08E-13,Receptor-type tyrosine-protein phosphatase F,P10586,7.23E-48,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell surface receptor protein tyrosine phosphatase signaling pathway [GO:0007185]; negative regulation of receptor binding [GO:1900121]; neuron projection regeneration [GO:0031102]; peptidyl-tyrosine dephosphorylation [GO:0035335]; regulation of axon regeneration [GO:0048679]; synaptic membrane adhesion [GO:0099560],GO:0004721; GO:0004725; GO:0005001; GO:0005886; GO:0007155; GO:0007185; GO:0008201; GO:0016477; GO:0031102; GO:0035335; GO:0035373; GO:0043005; GO:0043025; GO:0044877; GO:0048679; GO:0050839; GO:0070062; GO:0099560; GO:1900121
29,Pocillopora_acuta_HIv2___RNAseq.g19284.t1,5809.188723,15.69330246,3.623388622,4.60E-16,2.22E-13,Matrix metalloproteinase-16 ,Q9WTR0,1.41E-46,Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP),bone development [GO:0060348]; chondrocyte proliferation [GO:0035988]; collagen catabolic process [GO:0030574]; craniofacial suture morphogenesis [GO:0097094]; embryonic cranial skeleton morphogenesis [GO:0048701]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; ossification [GO:0001503]; protein processing [GO:0016485]; skeletal system development [GO:0001501],GO:0001501; GO:0001503; GO:0001958; GO:0004222; GO:0005615; GO:0005886; GO:0008270; GO:0016485; GO:0030198; GO:0030574; GO:0031012; GO:0035988; GO:0048701; GO:0060348; GO:0070006; GO:0097094
30,Pocillopora_acuta_HIv2___RNAseq.g19085.t1,6069.902038,11.12626192,2.1020643,4.61E-16,2.22E-13,Halomucin,Q18DN4,2.43E-08,Halomucin,homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],GO:0005509; GO:0005576; GO:0007156; GO:0016020; GO:0030246
31,Pocillopora_acuta_HIv2___TS.g11360.t1,727.482935,11.3112024,1.833068833,4.91E-16,2.29E-13,,NA,NA,NA,NA,NA
32,Pocillopora_acuta_HIv2___RNAseq.g7803.t1,953.4798544,-15.18215787,3.812600263,5.72E-16,2.58E-13,Transcription factor sox-2,Q21305,1.37E-40,Transcription factor sox-2,neuron differentiation [GO:0030182]; neuron fate specification [GO:0048665]; positive regulation of transcription by RNA polymerase II [GO:0045944],GO:0000977; GO:0000978; GO:0001228; GO:0005634; GO:0030182; GO:0045944; GO:0048665
33,Pocillopora_acuta_HIv2___TS.g16008.t2,945.3622318,-15.13568595,3.797291361,6.04E-16,2.65E-13,Allene oxide synthase,Q40778,1.37E-29,Allene oxide synthase (EC 4.2.1.92) (Cytochrome P450 74A2) (Rubber particle protein) (RPP),fatty acid biosynthetic process [GO:0006633]; oxylipin biosynthetic process [GO:0031408],GO:0004497; GO:0005506; GO:0006633; GO:0009978; GO:0016705; GO:0020037; GO:0031408
34,Pocillopora_acuta_HIv2___RNAseq.g22978.t3b,946.2585374,-15.15442485,3.814048965,7.35E-16,3.13E-13,Bacterial protein of unknown function (DUF885),NA,NA,NA,NA,NA
35,Pocillopora_acuta_HIv2___RNAseq.g2406.t1,916.5835252,-15.13063665,3.816061912,8.13E-16,3.36E-13,,NA,NA,NA,NA,NA
36,Pocillopora_acuta_HIv2___RNAseq.g8119.t1,933.904972,-15.18075149,3.835767955,8.57E-16,3.44E-13,,NA,NA,NA,NA,NA
37,Pocillopora_acuta_HIv2___TS.g9414.t1,1170.471344,-15.54088026,3.977648215,9.67E-16,3.78E-13,Follistatin-related protein 5,Q8BFR2,2.36E-58,Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2),cell differentiation [GO:0030154]; regulation of BMP signaling pathway [GO:0030510],GO:0005509; GO:0005576; GO:0030154; GO:0030510
38,Pocillopora_acuta_HIv2___RNAseq.g21374.t1,755.9813368,-10.20472545,1.620406258,1.63E-15,6.20E-13,,NA,NA,NA,NA,NA
39,Pocillopora_acuta_HIv2___RNAseq.g21000.t1,1227.757083,-15.59450811,3.963123088,1.74E-15,6.46E-13,ZP domain-containing protein,G8HTB6,7.06E-32,ZP domain-containing protein,,GO:0016020
40,Pocillopora_acuta_HIv2___RNAseq.g5252.t1,685.2377292,-11.5318853,1.917036162,1.85E-15,6.68E-13,,Q00168,4.64E-72,Calcium/calmodulin-dependent protein kinase type II alpha chain (CaM-kinase II alpha chain) (EC 2.7.11.17),"cellular response to starvation [GO:0009267]; chemical synaptic transmission [GO:0007268]; courtship behavior [GO:0007619]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; male courtship behavior [GO:0008049]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cytokine production [GO:0001818]; negative regulation of lipid storage [GO:0010888]; neuromuscular junction development [GO:0007528]; positive regulation of synaptic transmission, dopaminergic [GO:0032226]; regulation of filopodium assembly [GO:0051489]; regulation of ovulation [GO:0060278]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]",GO:0001818; GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005737; GO:0007268; GO:0007528; GO:0007611; GO:0007616; GO:0007619; GO:0008049; GO:0008582; GO:0009267; GO:0010888; GO:0030424; GO:0030425; GO:0032226; GO:0043005; GO:0045211; GO:0048786; GO:0051489; GO:0060278; GO:0106310; GO:2001234
41,Pocillopora_acuta_HIv2___RNAseq.g22853.t1,8612.303902,-11.13293951,2.151304119,1.90E-15,6.72E-13,Sporulation-specific protein 15-like,NA,NA,NA,NA,NA
42,Pocillopora_acuta_HIv2___RNAseq.g17117.t1,1037.729781,-15.15783407,3.859082394,2.19E-15,7.54E-13,Nitric oxide synthase 1,O19132,0,"Nitric oxide synthase 1 (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Nitric oxide synthase, brain) (bNOS) (Peptidyl-cysteine S-nitrosylase NOS1)",nitric oxide biosynthetic process [GO:0006809],GO:0004517; GO:0005516; GO:0006809; GO:0010181; GO:0020037; GO:0042383; GO:0043197; GO:0046872; GO:0050660; GO:0050661
43,Pocillopora_acuta_HIv2___TS.g16802.t1,3444.718376,-10.70297579,1.991838058,2.40E-15,7.89E-13,,NA,NA,NA,NA,NA
44,Pocillopora_acuta_HIv2___RNAseq.g25759.t1,808.988611,-14.89459268,3.793934411,2.40E-15,7.89E-13,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase,Q27128,0,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase (PAPS synthase) (PAPS synthetase) (PAPSS) (Sulfurylase kinase) (SK) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],3'-phosphoadenosine 5'-phosphosulfate biosynthetic process [GO:0050428]; sulfate assimilation [GO:0000103],GO:0000103; GO:0004020; GO:0004781; GO:0005524; GO:0016779; GO:0050428
45,Pocillopora_acuta_HIv2___RNAseq.30415_t,893.1763575,-15.1484622,3.884391294,3.10E-15,9.89E-13,Synaptotagmin-10,Q6XYQ8,9.54E-39,Synaptotagmin-10 (Synaptotagmin X) (SytX),calcium-ion regulated exocytosis [GO:0017156]; chemical synaptic transmission [GO:0007268]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; sensory perception of smell [GO:0007608],GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0005546; GO:0005886; GO:0007268; GO:0007608; GO:0017156; GO:0030276; GO:0030658; GO:0042803; GO:0045956; GO:0046982; GO:0070382; GO:0098793; GO:0098978
46,Pocillopora_acuta_HIv2___RNAseq.g24120.t1,770.6499447,-14.87497418,3.803616234,3.15E-15,9.89E-13,Uromodulin (Tamm-Horsfall urinary glycoprotein),Q862Z3,4.51E-46,"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]",antibacterial innate immune response [GO:0140367]; defense response to Gram-negative bacterium [GO:0050829]; neutrophil migration [GO:1990266],GO:0000922; GO:0005509; GO:0005615; GO:0005929; GO:0009986; GO:0016020; GO:0016323; GO:0016324; GO:0050829; GO:0060170; GO:0098552; GO:0140367; GO:1990266
47,Pocillopora_acuta_HIv2___RNAseq.g14336.t1,765.6225053,-14.85798212,3.796214819,3.98E-15,1.22E-12,CUB and peptidase domain-containing protein 1,B8V7S0,9.84E-94,CUB and peptidase domain-containing protein 1,acrosome reaction [GO:0007340]; proteolysis [GO:0006508],GO:0004252; GO:0005576; GO:0006508; GO:0007340
48,Pocillopora_acuta_HIv2___RNAseq.g26594.t2,3371.395232,-13.87644253,3.298652264,4.82E-15,1.45E-12,,Q90632,4.11E-37,Monocarboxylate transporter 3 (MCT 3) (Retinal epithelial membrane protein) (Solute carrier family 16 member 8),monocarboxylic acid transport [GO:0015718],GO:0005886; GO:0008028; GO:0015293; GO:0015718; GO:0016323
49,Pocillopora_acuta_HIv2___TS.g4983.t1,908.8478863,15.66779675,3.870453386,6.21E-15,1.82E-12,F-box/LRR-repeat protein 20,Q9CZV8,7.00E-18,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),"behavioral fear response [GO:0001662]; regulation of protein catabolic process at presynapse, modulating synaptic transmission [GO:0099575]; regulation of synaptic vesicle exocytosis [GO:2000300]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]",GO:0001662; GO:0005737; GO:0019005; GO:0031146; GO:0045202; GO:0098685; GO:0098793; GO:0098978; GO:0099575; GO:2000300
