GO.ID	term	definition	Aboral.genes_frequency	Aboral.pvalue	Aboral.-log10_pvalue	Aboral.Significant_genes	Aboral.Significant_genes_symbol	Oral.genes_frequency	Oral.pvalue	Oral.-log10_pvalue	Oral.Significant_genes	Oral.Significant_genes_symbol
"GO:0071495"	"cellular response to endogenous stimulus"	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."	"8.477% (54/637)"	0.0001184866	3.93	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.20998_t;Pocillopora_acuta_HIv2___RNAseq.22092_t;Pocillopora_acuta_HIv2___RNAseq.25352_t;Pocillopora_acuta_HIv2___RNAseq.g1075.t1;Pocillopora_acuta_HIv2___RNAseq.g12088.t1;Pocillopora_acuta_HIv2___RNAseq.g12162.t1;Pocillopora_acuta_HIv2___RNAseq.g12259.t1;Pocillopora_acuta_HIv2___RNAseq.g12272.t1;Pocillopora_acuta_HIv2___RNAseq.g12278.t1;Pocillopora_acuta_HIv2___RNAseq.g13824.t1;Pocillopora_acuta_HIv2___RNAseq.g14769.t1;Pocillopora_acuta_HIv2___RNAseq.g15163.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g17105.t1;Pocillopora_acuta_HIv2___RNAseq.g18126.t1;Pocillopora_acuta_HIv2___RNAseq.g18385.t1;Pocillopora_acuta_HIv2___RNAseq.g20144.t1;Pocillopora_acuta_HIv2___RNAseq.g20432.t1;Pocillopora_acuta_HIv2___RNAseq.g20652.t1;Pocillopora_acuta_HIv2___RNAseq.g2110.t1;Pocillopora_acuta_HIv2___RNAseq.g21339.t1;Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g26057.t1;Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g26778.t1;Pocillopora_acuta_HIv2___RNAseq.g26979.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28689.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g30657.t1;Pocillopora_acuta_HIv2___RNAseq.g3199.t1;Pocillopora_acuta_HIv2___RNAseq.g3923.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g6726.t2;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7055.t1;Pocillopora_acuta_HIv2___RNAseq.g7078.t1;Pocillopora_acuta_HIv2___RNAseq.g775.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g12304.t1;Pocillopora_acuta_HIv2___TS.g13017.t1;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g23673.t1;Pocillopora_acuta_HIv2___TS.g27885.t3;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.20998_t;Pocillopora_acuta_HIv2___RNAseq.22092_t;Pocillopora_acuta_HIv2___RNAseq.25352_t;Pocillopora_acuta_HIv2___RNAseq.g1075.t1;Pocillopora_acuta_HIv2___RNAseq.g12088.t1;Pocillopora_acuta_HIv2___RNAseq.g12162.t1;Pocillopora_acuta_HIv2___RNAseq.g12259.t1;Pocillopora_acuta_HIv2___RNAseq.g12272.t1;Pocillopora_acuta_HIv2___RNAseq.g12278.t1;Pocillopora_acuta_HIv2___RNAseq.g13824.t1;Pocillopora_acuta_HIv2___RNAseq.g14769.t1;Pocillopora_acuta_HIv2___RNAseq.g15163.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g17105.t1;Pocillopora_acuta_HIv2___RNAseq.g18126.t1;Pocillopora_acuta_HIv2___RNAseq.g18385.t1;Pocillopora_acuta_HIv2___RNAseq.g20144.t1;Pocillopora_acuta_HIv2___RNAseq.g20432.t1;Pocillopora_acuta_HIv2___RNAseq.g20652.t1;Pocillopora_acuta_HIv2___RNAseq.g2110.t1;Pocillopora_acuta_HIv2___RNAseq.g21339.t1;Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g26057.t1;Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g26778.t1;Pocillopora_acuta_HIv2___RNAseq.g26979.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28689.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g30657.t1;Pocillopora_acuta_HIv2___RNAseq.g3199.t1;Pocillopora_acuta_HIv2___RNAseq.g3923.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g6726.t2;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7055.t1;Pocillopora_acuta_HIv2___RNAseq.g7078.t1;Pocillopora_acuta_HIv2___RNAseq.g775.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g12304.t1;Pocillopora_acuta_HIv2___TS.g13017.t1;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g23673.t1;Pocillopora_acuta_HIv2___TS.g27885.t3;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"17.425% (111/637)"	0.6985651	0.16	NA	NA
"GO:0071554"	"cell wall organization or biogenesis"	"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall."	"23.529% (4/17)"	0.009204123	2.04	"Pocillopora_acuta_HIv2___RNAseq.g16526.t1;Pocillopora_acuta_HIv2___RNAseq.g20718.t1;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1"	"Pocillopora_acuta_HIv2___RNAseq.g16526.t1;Pocillopora_acuta_HIv2___RNAseq.g20718.t1;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1"	"5.882% (1/17)"	0.9667161	0.01	NA	NA
"GO:0071679"	"commissural neuron axon guidance"	"The process in which the migration of an axon growth cone of a commissural neuron is directed to its target in the brain in response to a combination of attractive and repulsive cues."	"29.412% (5/17)"	0.001228412	2.91	"Pocillopora_acuta_HIv2___RNAseq.g22839.t1;Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g6726.t2;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1"	"Pocillopora_acuta_HIv2___RNAseq.g22839.t1;Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g6726.t2;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1"	"11.765% (2/17)"	0.8412027	0.08	NA	NA
"GO:0071696"	"ectodermal placode development"	"The progression of an ectodermal placode over time from its initial formation until its mature state. An ectodermal placode is a thickening of the ectoderm that is the primordium of many structures derived from the ectoderm."	"37.5% (6/16)"	8.590011e-05	4.07	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"31.25% (5/16)"	0.1488259	0.83	NA	NA
"GO:0071697"	"ectodermal placode morphogenesis"	"The process in which the anatomical structures of an ectodermal placode are generated and organized. An ectodermal placode is a thickening of the ectoderm that is the primordium of many structures derived from the ectoderm."	"37.5% (6/16)"	8.590011e-05	4.07	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"31.25% (5/16)"	0.1488259	0.83	NA	NA
"GO:0071698"	"olfactory placode development"	"The progression of the olfactory placode over time from its initial formation until its mature state. The olfactory placode is a thickening of the neural ectoderm in the head region of the vertebrate embryo which develops into the olfactory region of the nasal cavity."	"60% (3/5)"	0.001204147	2.92	"Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"0% (0/5)"	1	0	NA	NA
"GO:0071699"	"olfactory placode morphogenesis"	"The process in which the anatomical structures of the olfactory placode are generated and organized. The olfactory placode is a thickening of the neural ectoderm in the head region of the vertebrate embryo which develops into the olfactory region of the nasal cavity."	"60% (3/5)"	0.001204147	2.92	"Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"0% (0/5)"	1	0	NA	NA
"GO:0071709"	"membrane assembly"	"The aggregation, arrangement and bonding together of a set of components to form a membrane."	"19.444% (7/36)"	0.00192291	2.72	"Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g28604.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g28604.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"5.556% (2/36)"	0.993368	0	NA	NA
"GO:0071711"	"basement membrane organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the basement membrane."	"23.81% (15/63)"	3.951218e-07	6.4	"Pocillopora_acuta_HIv2___RNAseq.2533_t;Pocillopora_acuta_HIv2___RNAseq.g12374.t1;Pocillopora_acuta_HIv2___RNAseq.g14253.t1;Pocillopora_acuta_HIv2___RNAseq.g15848.t1;Pocillopora_acuta_HIv2___RNAseq.g16274.t1;Pocillopora_acuta_HIv2___RNAseq.g20575.t1;Pocillopora_acuta_HIv2___RNAseq.g22638.t1;Pocillopora_acuta_HIv2___RNAseq.g23886.t1;Pocillopora_acuta_HIv2___RNAseq.g25624.t1;Pocillopora_acuta_HIv2___RNAseq.g5388.t1;Pocillopora_acuta_HIv2___RNAseq.g8148.t1;Pocillopora_acuta_HIv2___RNAseq.g8901.t1;Pocillopora_acuta_HIv2___TS.g14528.t1a;Pocillopora_acuta_HIv2___TS.g15590.t1;Pocillopora_acuta_HIv2___TS.g17199.t1"	"Pocillopora_acuta_HIv2___RNAseq.2533_t;Pocillopora_acuta_HIv2___RNAseq.g12374.t1;Pocillopora_acuta_HIv2___RNAseq.g14253.t1;Pocillopora_acuta_HIv2___RNAseq.g15848.t1;Pocillopora_acuta_HIv2___RNAseq.g16274.t1;Pocillopora_acuta_HIv2___RNAseq.g20575.t1;Pocillopora_acuta_HIv2___RNAseq.g22638.t1;Pocillopora_acuta_HIv2___RNAseq.g23886.t1;Pocillopora_acuta_HIv2___RNAseq.g25624.t1;Pocillopora_acuta_HIv2___RNAseq.g5388.t1;Pocillopora_acuta_HIv2___RNAseq.g8148.t1;Pocillopora_acuta_HIv2___RNAseq.g8901.t1;Pocillopora_acuta_HIv2___TS.g14528.t1a;Pocillopora_acuta_HIv2___TS.g15590.t1;Pocillopora_acuta_HIv2___TS.g17199.t1"	"23.81% (15/63)"	0.1557114	0.81	NA	NA
"GO:0071774"	"response to fibroblast growth factor"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fibroblast growth factor stimulus."	"13% (13/100)"	0.001570608	2.8	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.g1075.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g20432.t1;Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g6737.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.g1075.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g20432.t1;Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g6737.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"22% (22/100)"	0.1874144	0.73	NA	NA
"GO:0071798"	"response to prostaglandin D"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin D stimulus."	"80% (4/5)"	3.149674e-05	4.5	"Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"20% (1/5)"	0.6321539	0.2	NA	NA
"GO:0071799"	"cellular response to prostaglandin D stimulus"	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin D stimulus."	"80% (4/5)"	3.149674e-05	4.5	"Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Pocillopora_acuta_HIv2___RNAseq.g21475.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"20% (1/5)"	0.6321539	0.2	NA	NA
"GO:0071873"	"response to norepinephrine"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a norepinephrine stimulus. Norepinephrine is a catecholamine that has the formula C8H11NO3; it acts as a hormone, and as a neurotransmitter in most of the sympathetic nervous system."	"100% (5/5)"	3.306022e-07	6.48	"Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1"	"Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1"	"0% (0/5)"	1	0	NA	NA
"GO:0072001"	"renal system development"	"The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."	"10.798% (23/213)"	0.0004942835	3.31	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.g14250.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g20144.t1;Pocillopora_acuta_HIv2___RNAseq.g24899.t1;Pocillopora_acuta_HIv2___RNAseq.g25739.t1;Pocillopora_acuta_HIv2___RNAseq.g25943.t1;Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28065.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g568.t1"	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.g14250.t1;Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g20144.t1;Pocillopora_acuta_HIv2___RNAseq.g24899.t1;Pocillopora_acuta_HIv2___RNAseq.g25739.t1;Pocillopora_acuta_HIv2___RNAseq.g25943.t1;Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28065.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g568.t1"	"15.962% (34/213)"	0.8201114	0.09	NA	NA
"GO:0072070"	"loop of Henle development"	"The process whose specific outcome is the progression of the loop of Henle over time, from its formation to the mature structure. The loop of Henle is a nephron tubule that connects the proximal convoluted tubule to the distal convoluted tubule."	"40% (4/10)"	0.00107812	2.97	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1"	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1"	"10% (1/10)"	0.8647679	0.06	NA	NA
"GO:0072073"	"kidney epithelium development"	"The process whose specific outcome is the progression of an epithelium in the kidney over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."	"14.286% (10/70)"	0.00264361	2.58	"Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g25739.t1;Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___TS.g23602.t1"	"Pocillopora_acuta_HIv2___RNAseq.g15165.t1;Pocillopora_acuta_HIv2___RNAseq.g25739.t1;Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___TS.g23602.t1"	"15.714% (11/70)"	0.7462986	0.13	NA	NA
"GO:0072170"	"metanephric tubule development"	"The progression of a metanephric tubule over time, from its initial formation to the mature structure. A metanephric tubule is an epithelial tube that is part of the metanephros."	"33.333% (3/9)"	0.008680506	2.06	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"0% (0/9)"	1	0	NA	NA
"GO:0072207"	"metanephric epithelium development"	"The process whose specific outcome is the progression of an epithelium in the metanephros over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."	"33.333% (3/9)"	0.008680506	2.06	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"0% (0/9)"	1	0	NA	NA
"GO:0072234"	"metanephric nephron tubule development"	"The progression of a metanephric nephron tubule over time, from its initial formation to the mature structure. A metanephric nephron tubule is an epithelial tube that is part of the metanephric nephron, the functional part of the metanephros."	"33.333% (3/9)"	0.008680506	2.06	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"0% (0/9)"	1	0	NA	NA
"GO:0072243"	"metanephric nephron epithelium development"	"The process whose specific outcome is the progression of the metanephric nephron epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. The metanephric nephron epithelium is a tissue that covers the surface of a nephron in the metanephros."	"33.333% (3/9)"	0.008680506	2.06	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"Pocillopora_acuta_HIv2___RNAseq.g27045.t1b;Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g23602.t1"	"0% (0/9)"	1	0	NA	NA
